"employees","random_salaries","salary_adjustments","salary","raise"
"Employee 45",46050.7577937096,-4594.05089262873,41456.7069010809,FALSE
"Employee 46",41006.7022033036,3789.80558365583,44796.5077869594,TRUE
"Employee 47",47235.376057215,8778.40408473276,56013.7801419478,TRUE
"Employee 48",41053.2731888816,-1179.00168639608,39874.2715024855,FALSE
"Employee 49",42096.3307493366,9900.23983176798,51996.5705811046,TRUE
"Employee 50",45054.5605411753,9124.24662383273,54178.807165008,TRUE
"Employee 51",47437.6817513257,-3651.82744921185,43785.8543021139,FALSE
"Employee 52",40620.6446583383,789.197019767016,41409.8416781053,TRUE
"Employee 53",46722.7900773287,6399.64252593927,53122.432603268,TRUE
"Employee 54",41087.3049451038,5556.16192868911,46643.4668737929,TRUE
"Employee 55",49140.4469567351,3841.995713301,52982.4426700361,TRUE
"Employee 56",45024.9105482362,-4406.16433043033,40618.7462178059,FALSE
"Employee 57",48002.7650948614,2038.9127463568,50041.6778412182,TRUE
"Employee 58",43466.3296979852,9142.21774204634,52608.5474400315,TRUE
"Employee 59",40876.9471687265,731.332614086568,41608.279782813,TRUE
"Employee 60",48750.4791794345,9759.11374203861,58509.5929214731,TRUE
"Employee 61",46305.258104112,3059.527160367,49364.785264479,TRUE
"Employee 62",47761.2218889408,7288.45582576469,55049.6777147055,TRUE
"Employee 63",43456.7845705897,7003.40061914176,50460.1851897314,TRUE
"Employee 64",49229.4329078868,-4969.67249317095,44259.7604147159,FALSE
"Employee 65",48545.400025323,942.510211607441,49487.9102369305,TRUE
"Employee 66",46964.5570241846,8729.8848060891,55694.4418302737,TRUE
"Employee 67",48650.0391643494,1640.19677089527,50290.2359352447,TRUE
"Employee 68",41627.1074744873,-4967.24245022051,36659.8650242668,FALSE
"Employee 69",44542.2154129483,-4602.67608053982,39939.5393324085,FALSE
"Employee 70",42188.2143802941,1605.64450547099,43793.8588857651,TRUE
"Employee 71",40969.1089624539,-1624.4985233061,39344.6104391478,FALSE
"Employee 72",41046.527037397,4027.08994224668,45073.6169796437,TRUE
"Employee 73",46786.7447598837,3515.45813959092,50302.2028994747,TRUE
"Employee 74",45441.0113766789,5588.03660911508,51029.047985794,TRUE
"Employee 75",42593.551191967,6977.88672754541,49571.4379195124,TRUE
"Employee 76",49705.4948238656,7697.66261568293,57403.1574395485,TRUE
"Employee 77",47822.5396689959,935.006365180016,48757.5460341759,TRUE
"Employee 78",41727.4595028721,3279.67835357413,45007.1378564462,TRUE
"Employee 79",47113.6104059406,3633.95786844194,50747.5682743825,TRUE
"Employee 80",49839.9731749669,-4779.32903100736,45060.6441439595,FALSE
"Employee 81",48425.1729329117,5538.95840072073,53964.1313336324,TRUE
"Employee 82",46501.2128767557,9948.57914745808,56449.7920242138,TRUE
"Employee 83",47073.8054113463,-2427.64810216613,44646.1573091801,FALSE
"Employee 84",45173.9406283014,2617.43358918466,47791.374217486,TRUE
"Employee 85",49797.7342549711,-2630.85768092424,47166.8765740469,FALSE
"Employee 86",43559.8032781854,2941.5116016753,46501.3148798607,TRUE
"Employee 87",47723.7895433791,4138.553555822,51862.3430992011,TRUE
"Employee 88",47683.124570176,5793.65639714524,53476.7809673212,TRUE
"Employee 89",43632.0049106143,-1505.71781909093,42126.2870915234,FALSE
"Employee 90",44607.3922328651,5757.94656993821,50365.3388028033,TRUE
"Employee 91",41378.2483176328,55.1557226572186,41433.40404029,TRUE
"Employee 92",40744.7675685398,3562.35781800933,44307.1253865492,TRUE
"Employee 93",48266.0859357566,7242.19966446981,55508.2856002264,TRUE
"Employee 94",41121.9611344859,-4737.41848487407,36384.5426496118,FALSE
"Employee 95",43222.9556306265,1633.24540713802,44856.2010377645,TRUE
"Employee 96",43391.4903132245,-2771.51735615917,40619.9729570653,FALSE
"Employee 97",45275.9057749063,168.503745226189,45444.4095201325,TRUE
"Employee 98",46862.6755941659,8251.89516181126,55114.5707559772,TRUE
"Employee 99",47724.9143295921,-3149.30692897178,44575.6074006204,FALSE
"Employee 100",41238.2729561068,-4321.54861278832,36916.7243433185,FALSE
